,T1_HL48G,T2_HL48G,T4_HL48G,T5_HL48G,T11_HL48G,T12_HL48G,T13_HL48G,T14_HL48G,T15_HL48G,T16_HL48X,T17_HL48X,T18_HL48X,T19_HL48X,T21_HL48X,T22_HL48X,T23_HL48X,T24_HL48X
hotlake_ucc_69987,24948,19479,6643,33806,6076,16213,12997,8829,9154,8875,8562,4979,8754,37710,29103,23691,33498
hotlake_ucc_69988,1366,828,275,1692,298,694,917,493,468,538,479,272,502,1766,829,766,2213
hotlake_ucc_69989,3778,2553,841,4612,892,2226,1943,1533,1621,1767,1906,983,1895,9185,7286,6152,8042
hotlake_ucc_69990,880,423,115,550,174,534,345,202,272,105,127,65,131,654,434,394,1021
hotlake_ucc_69991,564,312,73,269,65,274,246,170,160,113,109,54,145,621,343,284,574
hotlake_ucc_69992,3498,1769,662,2087,2182,2207,1717,1521,1361,453,501,197,478,1120,970,971,3381
hotlake_ucc_69993,899,386,123,372,134,456,278,181,267,95,80,24,122,358,166,161,899
hotlake_ucc_69994,1571,876,230,967,318,875,684,406,636,207,226,105,288,917,503,504,1649
hotlake_ucc_69995,3829,1639,525,2280,995,1929,1643,851,954,491,502,232,661,2030,1063,1058,3150
hotlake_ucc_69996,7088,5109,1557,7624,1264,4362,4099,2484,2615,496,542,226,544,2668,1722,1379,4302
hotlake_ucc_69997,656,507,165,534,80,348,269,182,224,83,90,54,98,579,369,279,1334
hotlake_ucc_69998,1127,561,160,959,290,539,627,374,347,411,416,160,489,1380,776,812,1720
hotlake_ucc_70000,3200,1176,326,1707,1425,1504,1307,759,818,698,844,290,908,3463,2018,2251,4010
hotlake_ucc_70001,205245,71605,29466,113263,49344,92424,95751,69435,47521,162835,192965,62031,255657,328342,315174,301188,382974
hotlake_ucc_70002,924,512,152,883,232,519,527,312,396,278,275,114,317,1194,792,630,1658
hotlake_ucc_124549,2708,1556,547,2930,768,1597,1714,858,967,471,541,261,496,2066,1319,979,3166
hotlake_ucc_70003,302,236,80,599,122,273,312,154,214,88,101,47,87,345,237,130,490
hotlake_ucc_70004,71,53,18,124,26,44,84,24,40,24,23,15,34,121,87,50,127
hotlake_ucc_70005,1216,547,134,1372,324,625,891,461,334,1083,1223,567,1417,5416,3440,3355,1323
hotlake_ucc_124550,633,439,164,629,237,444,361,261,371,470,522,147,458,814,621,704,1031
hotlake_ucc_70006,1713,1062,302,3134,422,1175,1707,935,797,334,390,174,277,2146,1464,1317,2536
hotlake_ucc_70007,2902,1492,460,2093,468,1502,1259,782,872,345,396,203,409,1423,819,778,3661
hotlake_ucc_70008,2055,1242,392,1578,370,1295,1016,578,854,204,260,104,252,1048,692,683,2448
hotlake_ucc_70009,4539,2194,511,1722,652,1759,1131,715,1248,582,510,239,593,2197,1211,1300,6871
hotlake_ucc_70010,3014,1366,391,1730,473,1217,997,640,846,454,482,215,502,1673,988,963,3331
hotlake_ucc_70011,4073,1950,618,2298,731,2085,1696,819,1686,556,525,266,588,2648,1531,1433,6416
hotlake_ucc_70012,936,411,105,458,193,413,292,223,306,142,187,93,208,744,456,400,1960
hotlake_ucc_70013,587,246,122,420,113,397,350,227,250,81,99,25,92,363,209,255,700
hotlake_ucc_70014,3895,2037,684,3478,630,2293,2189,1123,1191,518,523,267,525,2277,1222,1060,3520
hotlake_ucc_70015,205,95,22,96,43,74,76,50,52,65,39,23,57,268,170,166,224
hotlake_ucc_70016,1227,603,174,851,203,447,466,218,389,642,650,209,615,2912,1544,1775,1969
hotlake_ucc_70017,1066,542,139,785,242,518,547,280,369,852,840,292,786,2674,1521,1872,2127
hotlake_ucc_70018,1326,537,108,477,221,452,348,202,292,1776,1664,908,1686,8657,5272,4882,1193
hotlake_ucc_70019,374,275,94,402,98,241,179,141,148,53,55,35,59,235,138,135,487
hotlake_ucc_70020,688,344,79,377,142,290,314,158,259,344,371,179,441,1705,1224,1110,1437
hotlake_ucc_70021,570,227,83,344,104,264,234,125,156,77,101,41,84,265,201,198,458
hotlake_ucc_70022,3305,1472,394,1764,790,2030,1506,888,1003,407,422,169,453,1646,952,986,2216
hotlake_ucc_70023,2220,1105,345,1532,484,974,942,498,594,334,375,162,381,1541,736,666,1573
hotlake_ucc_70024,862,427,92,533,151,417,340,167,263,180,224,69,221,695,409,359,1349
hotlake_ucc_70025,898,415,131,560,208,444,369,188,256,117,119,52,177,413,206,228,1018
hotlake_ucc_70026,2006,934,271,1021,308,1115,832,461,558,219,219,126,283,910,523,535,1896
hotlake_ucc_70027,145943,59658,19770,41022,58328,83937,67851,56133,48720,75797,78225,26583,144969,174039,143563,148202,183305
hotlake_ucc_70028,5799,2168,994,3206,2736,3158,3135,2153,1373,6476,8915,641,8812,6575,6833,3991,9453
hotlake_ucc_70029,38,14,5,14,31,25,5,13,13,42,51,2,33,26,34,42,69
hotlake_ucc_70030,44,9,12,17,53,23,12,12,22,73,45,4,89,60,80,76,115
hotlake_ucc_70031,570,303,115,383,108,309,222,169,182,126,112,46,113,489,261,319,457
hotlake_ucc_70032,13248,5968,2016,7317,2782,9145,5799,3194,5194,386,414,202,485,1582,1205,1065,3260
hotlake_ucc_70033,147858,95100,31655,279027,54161,116500,146583,89018,77410,114079,125335,69289,121269,464510,279091,204911,170352
hotlake_ucc_70034,24013,10856,3758,30343,8264,13520,19574,9480,8374,21057,23788,7753,24646,56322,29996,23977,20537
hotlake_ucc_70035,3088,1721,394,1898,589,1486,1129,785,1132,623,582,273,634,2747,1690,1657,6843
hotlake_ucc_70036,897,446,124,651,263,597,469,300,401,154,164,63,206,582,326,266,1289
hotlake_ucc_70037,1136,654,279,1208,336,678,703,389,371,288,328,157,381,1061,700,646,1634
hotlake_ucc_70038,704,400,102,582,164,445,339,272,240,231,251,100,259,915,466,490,1194
hotlake_ucc_70039,1337,765,191,1093,260,629,582,377,426,335,363,152,358,1477,970,1015,2803
hotlake_ucc_70040,3364,1825,497,2545,902,1711,1380,860,1150,1208,1172,489,1229,3833,2334,2175,6771
hotlake_ucc_70041,794,365,105,489,128,374,297,163,249,231,204,112,244,886,455,557,1594
hotlake_ucc_70042,5255,2597,702,2694,728,2139,1788,1018,1673,560,623,286,795,2621,1434,1539,7093
hotlake_ucc_70043,3406,2114,589,2273,583,1787,1208,814,1208,480,406,164,445,2137,1163,1298,5375
hotlake_ucc_70044,1249,680,215,771,183,610,511,262,437,105,94,40,114,466,278,273,1764
hotlake_ucc_70045,1328,571,132,470,195,525,330,180,271,140,138,50,168,590,296,361,1425
hotlake_ucc_70046,1059,567,165,652,206,612,420,224,412,205,185,92,205,1139,671,561,1535
hotlake_ucc_70047,559,266,69,337,77,259,213,120,190,124,121,41,153,584,337,356,634
hotlake_ucc_70048,1514,750,175,902,278,665,585,330,450,271,335,170,326,1322,708,738,2096
hotlake_ucc_70049,3849,2306,781,3840,950,2161,1861,1255,1433,270,350,189,301,1485,897,683,4130
hotlake_ucc_70050,8044,4162,1075,4919,1476,3643,2876,1757,2773,916,1031,485,1093,3852,2523,2246,13655
hotlake_ucc_70051,269,88,24,109,29,95,66,46,69,19,26,11,30,155,86,77,571
hotlake_ucc_70052,986,438,108,561,152,395,387,224,277,159,192,87,199,807,440,475,1746
hotlake_ucc_70053,1292,647,175,783,335,590,495,310,439,305,374,178,413,1278,763,720,2127
hotlake_ucc_70054,917,486,111,653,217,424,430,277,338,186,146,83,210,789,423,424,1825
hotlake_ucc_70055,2369,1120,337,1302,369,904,797,471,661,434,444,186,508,1938,1044,983,3667
hotlake_ucc_70056,1079,597,158,769,266,474,501,238,348,173,195,69,159,725,478,447,1884
hotlake_ucc_70057,2365,1447,379,2438,575,1218,1197,699,836,260,297,126,269,1335,860,778,4072
hotlake_ucc_70058,7319,3717,1032,5285,1616,3147,3040,1760,2422,1256,1242,600,1072,5468,3389,3696,14825
hotlake_ucc_70060,5348,3119,951,4342,930,2694,2403,1395,2178,923,1003,552,950,4358,2752,2407,14398
hotlake_ucc_70062,3274,1819,551,2952,1331,1991,1853,1196,1349,1007,1037,519,1115,3708,2212,1955,6310
hotlake_ucc_70063,1748,854,236,977,344,777,740,432,571,386,335,167,462,1821,946,1015,3372
hotlake_ucc_70064,728,314,71,396,122,385,287,199,230,322,375,146,408,1150,756,791,853
hotlake_ucc_70065,1748,996,269,1225,357,1000,944,433,590,698,701,347,846,2761,1815,1549,2049
hotlake_ucc_70066,1959,1042,338,1132,509,946,704,462,688,533,453,246,546,2354,1261,1380,3412
hotlake_ucc_70067,2084,1092,274,1584,531,1134,1052,619,812,581,568,256,649,2560,1393,1366,3145
hotlake_ucc_70068,5713,4752,1614,9134,1689,5273,5041,3409,4270,1306,1367,677,1261,4956,3288,3196,10704
hotlake_ucc_70069,6433,3389,1214,4961,1440,3827,3193,1996,2425,1028,1111,436,1170,3735,2190,2508,9409
hotlake_ucc_70070,5921,2965,824,2876,877,2378,1919,1167,1506,453,448,187,512,1626,986,1063,6385
hotlake_ucc_70071,3016,1140,344,1012,375,1013,564,338,612,317,359,142,363,1330,966,823,2967
hotlake_ucc_70072,1166,616,210,909,235,593,569,335,401,233,240,104,230,862,602,490,1279
hotlake_ucc_70073,767,393,104,404,91,269,216,129,177,195,183,114,223,933,550,500,1404
hotlake_ucc_70074,6030,3133,984,4176,1071,3127,2785,1383,1820,1694,1561,1056,2146,8344,5413,4874,5859
hotlake_ucc_70075,6221,3358,1103,5875,1728,3723,3475,1977,2510,1748,1719,859,2043,8783,6213,5707,9088
hotlake_ucc_70076,12628,8997,2990,22040,2750,7239,9100,4799,4335,3764,4450,2197,3846,16357,11624,8578,9830
hotlake_ucc_70077,1180,784,276,1370,132,558,685,450,525,406,479,200,499,1051,658,836,2104
hotlake_ucc_70079,2772,1646,589,2423,408,1219,1228,759,929,509,491,261,509,2127,1279,1114,4349
hotlake_ucc_70081,3468,1877,546,2255,509,1427,1425,697,1097,502,465,240,503,1948,1037,922,5589
hotlake_ucc_70082,1812,924,281,973,244,700,635,387,456,225,239,112,261,753,433,388,2375
hotlake_ucc_70083,1020,484,157,586,146,395,314,203,289,120,126,66,139,518,283,284,1373
hotlake_ucc_70084,479,233,64,294,143,227,247,100,128,66,77,35,71,194,120,128,703
hotlake_ucc_70085,229,117,21,98,31,102,78,45,77,38,44,14,42,126,61,71,319
hotlake_ucc_70086,3056,1913,769,3137,512,1758,1394,890,1175,314,389,222,363,1420,952,757,2738
hotlake_ucc_70087,706,322,123,486,123,292,223,157,226,195,221,105,267,773,507,463,749
hotlake_ucc_70088,336,183,52,193,53,197,89,82,124,83,102,55,106,426,333,263,801
hotlake_ucc_70089,3686,2101,688,2971,702,2337,1598,1069,1675,1271,1380,760,1634,4354,2881,2229,4363
hotlake_ucc_70090,3084,1651,459,1002,365,1542,732,450,1048,361,390,173,442,1376,899,855,6571
hotlake_ucc_70091,656,395,135,355,158,370,227,205,278,85,103,27,94,323,157,161,1061
hotlake_ucc_70092,7373,3357,1181,4176,1757,4479,2385,1920,2696,1328,811,560,1643,3155,1962,3045,10959
hotlake_ucc_70093,1534,692,203,675,207,967,421,370,576,254,160,140,344,828,393,496,3631
hotlake_ucc_70094,1176,644,197,1015,296,684,496,339,364,243,338,120,286,1199,717,560,1220
hotlake_ucc_70095,756,370,94,462,125,325,325,193,247,133,131,66,138,503,239,260,840
hotlake_ucc_70096,712,349,96,374,136,293,256,157,198,152,178,80,184,540,298,270,976
hotlake_ucc_70097,452,239,41,326,85,179,159,114,147,59,92,52,75,327,183,140,594
hotlake_ucc_70098,2823,1163,368,1635,785,1875,1404,786,1056,673,640,313,675,2717,1829,1846,3308
hotlake_ucc_70099,1553,743,231,1449,558,827,1400,756,547,299,355,146,338,1298,768,765,2097
hotlake_ucc_70100,1612,812,107,545,110,291,181,140,209,356,316,176,372,1624,860,755,1454
hotlake_ucc_70101,511,295,85,573,108,266,302,171,172,112,165,90,197,743,469,377,824
hotlake_ucc_70102,565,339,88,497,142,309,295,192,208,124,134,32,100,350,279,259,687
hotlake_ucc_70103,206,121,32,151,37,117,101,90,100,38,58,22,39,242,168,132,410
hotlake_ucc_70104,304,161,42,210,71,148,122,98,115,71,80,33,105,251,149,163,523
hotlake_ucc_70105,26467,15736,5721,20735,5751,14343,11042,7088,9875,5483,5676,3152,5985,21005,15569,10767,29730
hotlake_ucc_70106,789,440,115,697,221,506,419,260,310,262,277,102,280,1413,778,738,1842
hotlake_ucc_70108,1452,860,313,2265,497,873,1025,898,509,403,505,211,381,1428,977,962,1311
hotlake_ucc_70109,539,268,102,274,102,251,177,152,158,128,122,65,146,816,536,445,1167
hotlake_ucc_70110,1692,875,197,1159,265,672,694,379,579,2512,2435,1291,2859,16127,10026,9532,2121
hotlake_ucc_70111,336,171,80,388,129,171,268,189,109,84,76,36,76,308,163,169,456
hotlake_ucc_70112,3481,2375,851,4566,915,2017,2134,1351,1278,587,582,366,535,3374,2116,1589,3478
hotlake_ucc_70113,1135,1127,437,2266,435,897,841,711,885,436,442,194,401,2957,2656,1572,2322
hotlake_ucc_70114,970,901,330,1489,172,715,495,337,658,113,108,53,90,673,530,319,1900
hotlake_ucc_70115,1,1,1,3,0,3,1,1,0,0,0,1,0,6,2,1,6
hotlake_ucc_124551,135,64,18,73,24,115,90,44,40,64,37,26,60,195,111,138,116
hotlake_ucc_70116,24701,25765,10124,52977,5622,14988,11402,10347,12488,7121,6809,3663,5495,30164,25229,14635,17488
hotlake_ucc_70117,486,260,96,300,75,238,230,91,127,69,95,39,78,294,173,170,542
hotlake_ucc_70118,145184,40274,24304,87827,73524,74324,67782,53673,38608,159389,197933,24271,251727,268981,202866,139982,199356
hotlake_ucc_70119,2543,1307,460,2012,529,1390,1328,699,889,211,253,120,309,1059,570,480,2370
hotlake_ucc_70120,1146,703,220,696,223,633,413,333,457,176,188,71,198,761,442,405,1377
hotlake_ucc_70122,590,294,63,373,103,350,255,133,188,80,79,29,69,275,179,157,565
hotlake_ucc_70123,387,198,48,203,44,183,92,76,97,75,80,52,83,336,194,139,899
hotlake_ucc_70124,625,296,95,313,71,263,145,95,168,138,89,80,149,590,322,350,1474
hotlake_ucc_70125,1731,828,184,911,218,757,522,311,455,1240,1226,600,1298,5825,3628,3115,2954
hotlake_ucc_70126,1358,708,155,1048,212,932,800,424,602,1787,1876,1140,2092,7759,5263,4191,1119
hotlake_ucc_70127,1284,625,167,647,172,538,405,205,447,153,181,74,186,683,392,328,2760
hotlake_ucc_70128,937,566,182,790,134,482,367,254,263,178,200,94,179,754,553,432,1167
hotlake_ucc_70129,728,337,103,342,94,315,238,141,206,85,98,41,94,357,241,193,996
hotlake_ucc_70130,1225,604,193,633,184,525,460,250,431,183,208,122,181,878,599,474,2195
hotlake_ucc_70131,978,538,159,498,193,488,317,242,316,177,182,69,184,627,380,371,1544
hotlake_ucc_70132,1307,594,194,707,256,756,525,254,478,179,226,89,192,819,510,453,1807
hotlake_ucc_70133,4849,2888,710,1740,499,1966,939,721,1460,257,210,127,230,1036,602,626,8763
hotlake_ucc_70134,2281,1408,307,997,170,953,475,290,659,119,112,53,109,527,289,263,5106
hotlake_ucc_70136,8040,4201,1245,4790,1438,4408,3581,1861,2334,2612,3167,1523,2920,12552,5421,5030,13760
hotlake_ucc_70138,2001,1214,438,1507,374,1016,901,499,658,232,213,96,267,972,542,543,2509
hotlake_ucc_70139,1607,807,235,923,307,663,640,340,439,173,139,73,174,662,304,308,1819
hotlake_ucc_70140,2052,1132,310,1908,634,1100,1254,767,786,299,264,127,337,1152,562,567,2856
hotlake_ucc_70141,340,161,37,146,89,114,103,74,83,105,82,52,121,405,249,309,521
hotlake_ucc_70142,624,411,119,546,62,268,232,173,189,133,154,82,128,723,512,423,1150
hotlake_ucc_70143,600,283,86,331,94,246,201,146,186,117,104,50,99,422,252,267,949
hotlake_ucc_70144,6769,3210,442,2247,374,1330,775,545,977,1260,1058,706,1496,6038,4592,3586,5262
hotlake_ucc_70145,2376,1334,419,1533,315,1052,890,474,674,328,380,156,298,1507,748,753,2304
hotlake_ucc_70146,632,340,71,353,77,229,167,115,178,519,576,290,816,2163,1374,1016,1002
hotlake_ucc_70147,615,274,46,247,98,265,158,89,155,364,463,201,596,2044,1432,1038,857
hotlake_ucc_70148,651,333,35,285,68,199,125,80,163,354,369,207,506,2066,1236,915,1112
hotlake_ucc_70149,2225,1008,177,916,240,544,382,320,371,840,902,380,1123,3591,2623,2059,2185
hotlake_ucc_70150,1279,600,208,880,347,629,637,401,481,276,284,101,331,1348,767,834,1755
hotlake_ucc_70151,1350,666,183,959,313,651,724,375,457,334,308,144,420,1487,1004,982,1814
hotlake_ucc_70152,1522,768,198,942,228,803,674,373,615,408,412,218,495,2323,1024,1085,2330
hotlake_ucc_70153,3359,1831,509,2226,587,1634,1405,855,1124,960,946,475,969,4365,2905,2886,5618
hotlake_ucc_70155,3551,1858,527,2051,615,1855,1362,814,1344,644,682,261,779,2656,1454,1421,5580
hotlake_ucc_70156,4173,2225,629,2378,684,2027,1530,915,1297,798,793,365,855,3231,2015,2201,6332
hotlake_ucc_70157,3783,2281,659,3064,537,1619,1342,840,1146,1028,1035,559,1046,3874,2701,2347,4877
hotlake_ucc_70158,1355,653,158,679,342,526,385,281,383,569,551,266,575,2000,1333,1448,2340
hotlake_ucc_70159,7939,4374,1253,4940,1435,3681,2751,1956,2873,629,775,326,833,4476,3277,3041,16208
hotlake_ucc_70160,20597,13512,4801,18621,2378,9458,7107,4624,7595,1297,1380,706,1295,8091,5328,3892,20635
hotlake_ucc_70161,37700,23135,7753,29533,8987,23594,17053,10381,14676,5537,6080,2947,7390,24909,20745,17360,44844
hotlake_ucc_70162,22519,14009,4323,20190,3971,11502,9943,5879,8386,2965,3339,1629,3284,13823,9214,6711,35307
hotlake_ucc_70163,5931,3536,1151,5399,862,2478,2304,1352,2029,673,755,325,684,2972,1763,1414,11109
hotlake_ucc_70164,12968,7848,2872,11023,2916,7326,5283,3691,4852,1443,1550,830,1588,6994,4847,4038,26275
hotlake_ucc_70165,2568,1327,380,1606,447,1181,1005,574,865,435,388,209,430,1543,896,798,3540
hotlake_ucc_70166,356,168,42,169,75,199,155,77,132,137,151,58,179,730,431,344,817
hotlake_ucc_70167,1019,499,146,530,236,586,347,238,382,303,297,129,464,1647,820,843,1685
hotlake_ucc_70168,2314,1178,291,2381,479,1242,1402,829,740,700,778,322,723,3761,2487,2170,2938
hotlake_ucc_70169,5188,2800,801,3045,765,2725,2061,1255,1889,654,719,304,604,4525,2501,2593,7933
hotlake_ucc_70170,1536,802,253,800,145,581,324,208,561,188,183,89,196,1005,603,596,3414
hotlake_ucc_70171,8478,4470,1386,4973,1570,3692,2643,1694,2659,1320,1345,745,1484,5653,3749,3055,23740
hotlake_ucc_70172,9183,6104,2020,8541,1534,5385,3786,2379,3861,1378,1227,856,1424,5652,4403,3505,21970
hotlake_ucc_70173,19856,15397,4964,21864,4347,12113,8284,6163,8083,1939,2146,1388,2098,15141,14438,7902,58851
hotlake_ucc_70174,25606,19091,6364,30396,6208,15713,11712,8931,10323,2300,2554,1533,2389,15522,13882,7840,67190
hotlake_ucc_70175,21884,12941,3739,17472,4030,11891,10111,7382,7572,2445,2775,1276,2579,10314,6750,5549,37842
hotlake_ucc_70176,32516,19442,5352,23002,4184,15257,12328,6863,11262,17044,17483,9377,18741,75926,47415,42023,79278
hotlake_ucc_70178,7271,6586,2449,12753,2283,7356,6451,4316,4653,4219,4497,2242,4407,24643,18107,14245,11549
hotlake_ucc_70179,536,265,65,527,107,258,284,175,238,3350,3460,1945,4236,20738,12901,12454,2820
hotlake_ucc_70180,218,110,27,292,34,107,112,87,101,2071,2117,880,2432,12126,7648,6973,1211
hotlake_ucc_70181,615,299,70,863,210,333,508,277,300,4797,4442,2337,5341,24650,16056,13423,3284
hotlake_ucc_70182,355,285,93,361,26,265,202,105,154,84,45,38,71,367,222,150,535
hotlake_ucc_70183,1907,1306,403,3836,583,846,1370,850,884,7112,6429,3220,6067,37468,30035,22785,4403
hotlake_ucc_70184,1469,997,274,2334,516,878,1151,801,765,8351,5660,4637,7886,44383,27728,27544,4326
hotlake_ucc_70185,6500,3446,982,7294,1459,2752,3701,2177,2313,23805,20148,11816,22351,106566,77586,74477,10629
hotlake_ucc_70186,8640,4330,1081,9198,2552,4185,5905,3423,3409,11368,11207,5311,11593,61501,49949,42896,8279
hotlake_ucc_70188,738,462,127,660,178,355,315,258,444,938,884,400,767,5163,3621,2892,643
hotlake_ucc_70189,6136,3046,933,5702,1255,3252,3671,1940,1567,1629,1610,856,1725,7707,5166,5164,3499
hotlake_ucc_70190,1435,810,233,1115,290,861,728,393,582,162,162,87,194,890,542,466,2006
hotlake_ucc_70191,1255,672,255,1015,322,696,591,359,482,143,172,77,202,594,479,467,1414
hotlake_ucc_70192,4970,2410,736,3846,986,3240,2384,1700,1912,376,413,230,476,2129,1563,1178,2224
hotlake_ucc_70193,7300,3254,1165,5795,1818,3386,3358,2550,2147,686,775,393,860,3785,2660,2513,5411
hotlake_ucc_70194,1511,680,178,1519,388,574,851,675,284,231,239,143,260,1186,736,715,1198
hotlake_ucc_70195,2023,970,281,2113,435,814,961,691,397,281,225,133,297,1236,765,701,1716
hotlake_ucc_70196,1327,820,415,769,307,477,891,853,1276,26,13,10,5,2,1,1,6
hotlake_ucc_70197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_70198,344589,109162,62942,152282,139295,305639,192663,187304,160997,200521,272019,27933,265994,338389,178220,187792,515978
hotlake_ucc_70199,37173,11305,6035,15837,53035,46629,31913,27532,17044,48597,67085,2595,69323,50541,66226,42268,76503
hotlake_ucc_70200,180,61,10,35,22,204,1169,32,29,366,388,127,431,430,222,184,132
hotlake_ucc_70201,6636,3912,1219,6973,1283,3442,3314,2083,2281,482,539,275,644,2012,1311,1049,5006
hotlake_ucc_70202,5343,2948,881,4207,899,2553,2181,1460,1603,141,155,56,155,774,498,504,4506
hotlake_ucc_70203,11609,4629,1362,4871,2263,6447,3660,3465,3736,1804,2453,338,2641,2712,2709,2895,9561
hotlake_ucc_70204,12593,5548,1472,4900,1163,5701,3367,1966,4519,448,435,229,480,2682,1487,1631,16913
hotlake_ucc_70205,33793,20150,6919,21802,3580,13675,10697,6307,11401,855,906,437,834,4972,3531,3577,45831
hotlake_ucc_70206,603,280,68,362,96,272,280,145,222,44,73,35,70,367,231,219,975
hotlake_ucc_70207,2680,1415,483,1784,488,1399,998,580,701,211,188,80,178,684,374,428,2446
hotlake_ucc_70208,2349,1140,325,1400,320,1193,817,484,663,183,159,97,157,893,547,450,2493
hotlake_ucc_70209,2400,1022,229,1732,589,1308,1366,763,711,1376,1391,644,1426,4773,3858,3239,2438
hotlake_ucc_70211,1707,890,257,1548,357,825,880,484,543,1151,1053,611,1141,5197,3400,3361,1818
hotlake_ucc_70212,1561,965,261,945,244,652,474,339,453,251,246,124,243,1020,794,771,3687
hotlake_ucc_70213,706,365,73,336,144,314,224,174,199,84,73,49,99,386,280,224,1557
hotlake_ucc_70214,842,438,131,568,119,349,290,184,229,44,47,22,48,304,189,179,1300
hotlake_ucc_70215,378,150,59,176,53,186,145,84,114,90,89,55,132,454,312,279,538
hotlake_ucc_70216,1091,690,133,1154,306,448,802,522,354,296,305,165,275,2260,1348,1234,1011
hotlake_ucc_70217,1513,858,255,1359,362,928,753,447,550,224,254,110,294,946,587,542,1864
hotlake_ucc_70218,497,265,62,245,60,238,151,97,142,77,96,56,102,461,269,311,1487
hotlake_ucc_70219,442,171,51,192,60,129,88,73,68,48,55,21,49,210,136,91,639
hotlake_ucc_70220,130,51,9,68,21,68,38,38,49,16,16,7,19,106,58,62,461
hotlake_ucc_70221,8,4,1,3,4,7,3,2,3,0,2,2,0,17,8,10,36
hotlake_ucc_70222,12755,8070,2753,11583,1358,6574,5279,3180,4822,13409,15688,7877,17717,19637,12940,18093,25958
hotlake_ucc_70223,5685,5769,2661,13266,1376,7539,7173,4577,5538,9797,9940,5056,9551,17854,14822,16958,18845
hotlake_ucc_70224,11440,5429,1427,5690,2476,5520,3992,2736,4467,3755,4110,1459,3921,8369,4757,5041,20669
hotlake_ucc_70225,681,404,161,441,91,279,238,158,193,176,141,84,163,643,377,394,1187
hotlake_ucc_70226,1398,661,184,504,159,602,330,227,352,233,216,100,220,944,511,515,2006
hotlake_ucc_70227,1649,866,232,1027,327,824,580,461,612,434,485,200,443,1772,991,968,3554
hotlake_ucc_70229,8557,3908,750,3650,958,2177,1495,1120,1504,642,828,304,766,2651,1640,1389,21227
hotlake_ucc_70230,302,253,65,245,37,145,109,116,130,20,23,24,27,236,140,104,676
hotlake_ucc_70231,1754,1119,277,1196,257,764,533,390,610,275,266,141,306,1306,774,704,2728
hotlake_ucc_70232,1282,717,177,652,215,533,421,273,334,284,340,164,336,1809,1093,1088,2633
hotlake_ucc_70233,2088,992,258,1016,390,917,669,497,658,749,855,401,1068,3103,2097,1778,3107
hotlake_ucc_70234,1021,482,107,700,183,494,563,340,314,488,520,268,662,2092,1408,1197,933
hotlake_ucc_70235,2817,1425,392,2007,576,1129,1194,731,729,1298,1413,701,1632,4375,3129,3035,2349
hotlake_ucc_70236,1421,755,204,948,189,560,522,301,369,639,746,292,693,1952,1435,1290,2410
hotlake_ucc_70237,833,399,122,429,179,509,356,244,394,229,286,82,274,894,485,514,1750
hotlake_ucc_70238,2724,1258,369,1693,574,1470,1147,681,670,367,441,159,474,1536,738,803,2524
hotlake_ucc_70239,280,130,32,169,29,157,97,65,92,60,51,28,78,241,141,152,580
hotlake_ucc_70240,875,341,97,388,152,393,267,184,312,145,169,75,164,642,334,319,1722
hotlake_ucc_70241,446,252,65,250,103,219,151,108,143,63,75,24,59,340,194,130,891
hotlake_ucc_70242,738,384,80,289,75,322,205,109,235,71,136,45,116,400,221,189,1476
hotlake_ucc_70243,1811,1308,333,1089,161,918,494,329,711,203,190,106,195,921,632,542,3873
hotlake_ucc_70244,840,351,119,434,152,398,307,204,269,212,205,138,286,917,493,421,1435
hotlake_ucc_70245,556,299,81,253,87,222,155,115,168,97,99,35,127,397,204,179,1131
hotlake_ucc_70246,1434,838,241,834,170,489,401,254,429,167,169,103,189,699,402,395,2112
hotlake_ucc_70247,2511,1179,296,1167,231,888,790,377,572,329,313,146,318,1446,801,899,4014
hotlake_ucc_70248,1072,640,188,685,214,642,561,299,364,123,138,49,141,787,436,451,1928
hotlake_ucc_70249,658,300,87,256,49,225,141,104,204,40,44,29,56,219,142,163,911
hotlake_ucc_70250,372,149,40,98,33,165,57,39,82,27,19,6,22,85,42,53,376
hotlake_ucc_70251,2266,1449,419,1671,404,1211,860,552,645,755,529,413,828,1871,1265,1820,3581
hotlake_ucc_70253,84,48,12,40,13,36,27,14,25,11,11,11,7,48,29,35,179
hotlake_ucc_70254,15,8,3,5,50,26,9,20,16,67,59,2,63,21,44,32,22
hotlake_ucc_70255,36,17,10,3,34,16,9,14,15,56,67,2,52,12,22,16,80
hotlake_ucc_70256,1301,685,227,1280,297,669,784,410,327,332,337,176,377,1222,645,704,1308
hotlake_ucc_70257,530,215,53,432,258,232,295,197,184,423,496,201,480,1965,1384,1344,870
hotlake_ucc_70258,19611,13980,4740,59261,8967,8573,22748,16805,5869,973,987,769,1010,8976,7478,7465,13951
hotlake_ucc_70259,805,409,103,472,177,419,305,201,268,142,169,37,129,493,258,211,1072
hotlake_ucc_70260,1626,929,261,867,302,931,612,425,576,210,219,94,216,1148,595,551,2924
hotlake_ucc_70261,763,354,78,274,92,330,178,120,218,150,127,59,130,435,263,257,1470
hotlake_ucc_70262,849,324,92,323,189,346,188,124,223,81,111,38,88,298,166,219,1068
hotlake_ucc_70263,1688,895,291,1233,297,811,564,372,636,248,297,159,314,1150,831,673,3538
