,T1_HL48G,T2_HL48G,T4_HL48G,T5_HL48G,T11_HL48G,T12_HL48G,T13_HL48G,T14_HL48G,T15_HL48G,T16_HL48X,T17_HL48X,T18_HL48X,T19_HL48X,T21_HL48X,T22_HL48X,T23_HL48X,T24_HL48X
hotlake_ucc_69537,26213,16245,5109,29568,8027,16680,17516,10708,11679,4167,4358,2048,4585,22161,15098,13210,43354
hotlake_ucc_69538,2003,1070,307,1653,640,1150,1130,765,811,218,222,117,288,1181,760,681,3583
hotlake_ucc_69539,3853,2160,748,3474,819,1890,1950,1137,1329,389,306,205,366,1558,960,839,5243
hotlake_ucc_69540,1988,1065,300,1936,362,998,1157,610,594,269,257,124,271,1072,617,554,2613
hotlake_ucc_69541,856,567,180,1353,247,523,723,337,329,99,94,65,110,493,366,249,1243
hotlake_ucc_69543,836,431,137,811,186,464,504,276,273,233,322,144,374,1079,771,658,1205
hotlake_ucc_69544,409,176,40,314,88,224,190,142,122,191,192,85,208,844,414,397,567
hotlake_ucc_69545,183,103,39,174,35,89,102,49,64,65,76,32,78,375,195,172,336
hotlake_ucc_69547,72,29,9,53,15,39,36,19,22,37,26,20,34,125,62,87,84
hotlake_ucc_69548,47,33,3,29,19,14,21,10,17,14,17,11,22,93,48,57,60
hotlake_ucc_69549,41,17,3,30,8,12,19,15,10,16,19,7,15,102,71,85,57
hotlake_ucc_69550,52,17,6,22,5,21,12,17,12,13,29,12,19,105,71,85,56
hotlake_ucc_69551,203,123,10,95,23,64,63,45,57,264,237,151,249,1155,967,687,299
hotlake_ucc_69552,209,110,21,92,40,80,48,49,59,299,313,149,385,1301,1046,1017,292
hotlake_ucc_69553,101,61,9,41,17,46,22,19,48,139,116,75,171,665,487,423,276
hotlake_ucc_69554,160,90,18,103,10,98,57,41,96,274,292,181,354,1668,1291,1073,873
hotlake_ucc_69556,90,47,14,45,12,33,31,18,32,59,95,47,63,458,305,255,182
hotlake_ucc_69557,193,77,25,90,14,82,54,23,37,188,189,90,242,1069,731,704,359
hotlake_ucc_69558,125,58,14,73,26,87,46,22,27,187,142,67,235,625,503,507,257
hotlake_ucc_69559,81,43,3,66,23,53,32,18,25,110,103,43,130,635,444,358,257
hotlake_ucc_69560,244,130,31,149,30,89,81,48,93,50,53,19,42,201,106,109,465
hotlake_ucc_69561,376,193,48,177,53,161,142,67,116,66,50,32,71,265,139,165,677
hotlake_ucc_69562,324,144,46,150,59,173,98,65,85,31,51,18,50,164,83,75,516
hotlake_ucc_69563,334,157,35,182,60,267,134,112,156,38,40,10,39,129,79,72,510
hotlake_ucc_69564,9714,4877,1481,5780,1565,5621,3486,2480,3375,359,340,158,395,1472,778,754,7087
hotlake_ucc_69565,368,180,66,236,65,243,165,92,124,19,17,11,14,57,57,40,208
hotlake_ucc_124543,66,50,25,53,28,53,32,61,46,11,7,9,17,91,20,33,97
hotlake_ucc_69566,19894,11077,3911,16151,2775,8931,8139,4277,6169,1497,1352,767,1422,7362,4153,4099,17612
hotlake_ucc_69567,3649,1717,542,2055,565,2138,1368,1064,1366,403,412,190,501,1953,1058,1079,3070
hotlake_ucc_69568,3179,1553,442,1613,549,1655,1092,852,1048,241,282,118,331,1219,700,785,3289
hotlake_ucc_69569,722,384,117,514,147,412,307,150,189,152,164,74,197,626,354,371,1020
hotlake_ucc_69570,683,311,139,505,118,335,362,206,186,64,77,43,68,311,227,194,711
hotlake_ucc_69571,2268,1243,382,1493,402,1294,1075,649,813,343,465,202,545,1431,768,730,2417
hotlake_ucc_69572,1375,777,217,984,252,691,729,435,487,372,368,210,475,1737,842,934,1814
hotlake_ucc_69573,901,400,105,574,243,381,305,250,246,244,277,86,366,1027,602,640,991
hotlake_ucc_69574,1701,901,282,1168,269,1129,657,434,868,401,304,233,547,1355,736,929,3297
hotlake_ucc_69575,2060,991,334,1369,371,1500,852,566,958,525,472,262,658,1672,883,1084,4322
hotlake_ucc_69576,4691,2342,597,2311,505,2519,1338,795,1793,1076,1112,583,1252,4667,2724,2491,11644
hotlake_ucc_69578,3111,1478,390,1742,515,1533,1116,728,802,966,1056,508,1199,3279,2115,2275,4366
hotlake_ucc_69579,11866,6005,2136,7537,2200,6253,4925,2570,3510,2148,2238,998,2277,8066,4887,3751,11295
hotlake_ucc_69580,1079,543,168,472,179,555,333,273,347,212,237,90,275,731,393,398,1070
hotlake_ucc_69581,1871,1140,369,2090,425,1340,1177,785,953,729,924,328,893,2754,1587,1912,3136
hotlake_ucc_69582,2178,1246,395,1948,657,1480,1315,799,872,522,594,255,627,2134,1265,1692,3745
hotlake_ucc_69583,1079,517,146,683,167,438,389,212,233,167,111,44,156,458,294,282,933
hotlake_ucc_124544,306,163,37,169,58,167,161,102,136,54,75,28,61,249,155,165,658
hotlake_ucc_69584,1591,1105,306,1837,419,1136,1012,675,804,404,345,226,310,2204,1614,1264,3386
hotlake_ucc_124545,89,97,28,140,21,86,134,50,53,16,34,8,32,95,45,36,194
hotlake_ucc_69585,245,96,23,67,34,126,47,42,52,25,26,17,23,125,66,72,330
hotlake_ucc_69586,764,406,88,258,126,398,198,182,207,128,131,47,138,532,252,302,1971
hotlake_ucc_69587,540,266,81,159,80,259,119,111,156,61,75,17,54,223,133,120,774
hotlake_ucc_69588,1419,755,196,746,211,772,512,319,524,273,272,106,300,1246,680,668,2174
hotlake_ucc_69589,1926,991,309,1019,301,984,694,402,575,326,354,133,393,1365,779,806,3840
hotlake_ucc_69590,4823,3079,948,5174,1227,3362,3182,1895,2207,608,626,321,673,2685,1629,1418,6586
hotlake_ucc_69591,796,387,109,468,183,386,306,200,273,113,117,52,152,524,321,308,1794
hotlake_ucc_69592,465,279,81,273,98,252,218,123,197,45,50,23,64,260,145,151,1085
hotlake_ucc_69593,1696,1107,361,856,154,779,415,332,519,97,99,49,97,387,205,181,3304
hotlake_ucc_69594,623,392,138,395,103,191,156,111,163,61,84,22,57,277,144,188,864
hotlake_ucc_69595,405,245,75,241,52,116,142,59,79,38,30,18,32,140,63,95,555
hotlake_ucc_69596,1773,933,251,825,175,637,477,273,420,162,143,84,166,587,331,292,2488
hotlake_ucc_69597,1192,638,156,448,104,431,240,160,339,116,141,48,120,500,232,227,2262
hotlake_ucc_69598,300,142,51,90,38,91,54,28,54,33,24,10,37,145,78,71,448
hotlake_ucc_69599,3979,2215,655,1642,460,1414,922,578,1123,462,454,215,472,2114,891,978,6547
hotlake_ucc_69600,4474,3207,1097,4176,737,2297,1856,1173,1725,333,378,166,366,1772,1067,839,5993
hotlake_ucc_69601,3443,1764,471,1649,443,1483,997,621,1216,627,688,314,702,2954,2097,1923,5341
hotlake_ucc_69602,1755,761,251,903,333,680,705,405,659,371,332,164,394,1591,889,713,1825
hotlake_ucc_69603,127,51,11,54,11,64,46,33,44,23,32,14,27,115,61,94,175
hotlake_ucc_69604,133,60,14,83,33,63,44,39,39,27,34,11,37,116,83,73,142
hotlake_ucc_69605,25,25,5,22,3,10,20,11,5,4,9,9,6,35,22,30,31
hotlake_ucc_69606,33,32,14,28,15,33,17,11,21,13,7,2,6,44,27,31,48
hotlake_ucc_69607,51,31,7,48,15,25,17,18,20,9,15,8,11,62,39,38,66
hotlake_ucc_69608,60,51,17,35,7,27,30,26,27,14,18,6,12,53,33,29,50
hotlake_ucc_69609,730,459,174,853,221,451,494,298,345,158,159,85,166,587,461,372,491
hotlake_ucc_69611,460,237,98,256,63,382,224,191,250,22,19,4,17,47,27,22,86
