Locus_Tag,T6_HL58G,T7_HL58G,T8_HL58G,T9_HL58G,T10_HL58G,T11_HL58G,T12_HL58G,T13_HL58G,T14_HL58G,T15_HL58G,T21_HL58X,T22_HL58X,T23_HL58X,T24_HL58X
hotlake_ucc_82844,2953,1950,2679,2378,2740,373,828,698,535,652,55,34,30,126
hotlake_ucc_82845,3712,2859,3544,3163,3725,647,1868,2036,1135,1533,78,33,36,274
hotlake_ucc_82846,465,343,367,308,415,38,151,81,67,105,11,13,7,30
hotlake_ucc_82847,4269,3339,4172,3502,3865,281,968,532,350,837,108,64,66,174
hotlake_ucc_82848,60,52,39,19,3,6,17,23,5,16,1,0,2,18
hotlake_ucc_82849,128,105,109,74,73,14,63,39,28,31,3,1,1,8
hotlake_ucc_82850,240,230,271,206,249,9,30,53,41,31,2,1,2,12
hotlake_ucc_82851,1055,931,1111,1012,1007,89,291,340,220,205,34,16,17,78
hotlake_ucc_82852,1353,1004,1126,1016,1148,146,602,456,280,588,51,26,17,64
hotlake_ucc_82853,1203,898,1218,898,972,161,504,381,289,376,21,19,8,64
hotlake_ucc_82854,1049,863,993,777,905,109,424,346,226,368,33,16,6,67
hotlake_ucc_82855,66,96,76,57,98,1,9,12,4,14,3,0,1,5
hotlake_ucc_82856,502,313,428,360,404,52,231,161,108,211,15,6,7,17
hotlake_ucc_82857,1054,863,1010,765,964,135,508,372,236,475,23,18,13,40
hotlake_ucc_82858,3098,2263,2835,2321,2702,444,1556,1076,789,1231,92,77,62,172
hotlake_ucc_82859,8267,6317,7980,7964,7903,781,2275,1723,1202,1872,271,183,151,460
hotlake_ucc_82861,1885,1550,1923,1825,2092,244,980,576,486,1018,92,51,44,110
hotlake_ucc_82862,5565,4224,5728,4991,5426,666,2868,1542,1128,2530,163,104,78,298
hotlake_ucc_82863,54205,40327,52085,44439,54124,5477,13896,16009,13062,15554,1002,549,553,1310
hotlake_ucc_82865,26167,20509,25773,21406,23242,3061,6205,8003,4837,5409,407,184,193,652
hotlake_ucc_82866,7699,5856,7468,7756,7492,1228,5120,2726,2258,4912,269,141,136,675
hotlake_ucc_82867,24117,18591,24265,23562,22207,2702,17567,7735,6520,16589,491,362,266,1291
hotlake_ucc_82868,15454,12122,16262,14283,14127,1719,12273,5351,4505,11868,344,240,180,842
hotlake_ucc_82869,5565,4272,5515,6511,5734,753,5095,2001,1495,5274,312,213,151,801
hotlake_ucc_82870,4245,3158,4321,3973,4143,793,5505,1609,1358,5265,126,108,75,325
hotlake_ucc_82871,619,487,545,412,508,73,590,259,202,533,18,18,9,71
hotlake_ucc_82872,23180,19649,24253,25950,24408,3173,8267,8487,5960,7483,313,164,160,488
hotlake_ucc_82873,21149,17291,21027,23564,22782,2480,7903,7021,5535,6801,266,159,126,346
hotlake_ucc_82874,12760,10732,12522,11307,11123,1526,4786,4665,3511,4155,151,86,76,167
hotlake_ucc_82875,3236,2508,2934,2464,2473,245,733,997,557,668,177,81,106,163
hotlake_ucc_82876,2293,1744,2143,1864,2133,289,645,821,523,589,229,159,161,136
hotlake_ucc_82877,1044,831,1001,812,889,146,211,347,249,157,34,24,22,32
hotlake_ucc_82878,155230,144633,149880,73579,85551,13716,25224,17952,17454,12029,2543,2448,2287,8326
hotlake_ucc_82879,674,536,646,532,642,35,233,203,102,224,13,23,6,37
hotlake_ucc_82880,4641,3841,4208,3500,3956,599,1710,1772,763,1562,228,94,109,287
hotlake_ucc_82881,980,658,847,727,793,129,770,324,290,678,32,13,9,42
hotlake_ucc_82882,2504,1803,2498,1857,2151,330,1673,840,621,1419,71,37,37,130
hotlake_ucc_82883,2727,1982,2777,2503,2705,366,1922,952,773,1674,83,87,48,181
hotlake_ucc_82885,2886,2282,2454,2605,2815,313,926,1255,851,912,324,244,249,244
hotlake_ucc_82886,1408,1111,1245,1267,1321,100,644,381,259,524,55,31,18,95
hotlake_ucc_82887,930,787,830,672,749,80,424,211,146,345,35,23,15,45
hotlake_ucc_82889,464,326,410,341,420,56,136,111,116,98,17,5,10,22
hotlake_ucc_82890,463,393,361,431,410,25,126,74,75,95,14,6,9,16
hotlake_ucc_82891,4634,3422,4556,3896,3857,330,995,1133,757,887,124,78,51,165
hotlake_ucc_82893,163,89,170,145,165,19,61,82,54,53,0,3,1,4
hotlake_ucc_82894,21679,16916,21110,21231,21604,1834,4051,4775,2814,3663,866,394,363,901
hotlake_ucc_82896,47,33,56,51,53,11,46,33,32,41,2,0,0,0
hotlake_ucc_82897,1804,1390,1847,1506,1685,390,1514,652,560,1284,88,50,36,175
hotlake_ucc_82898,870,657,829,784,920,72,344,234,199,200,38,27,19,49
